"abbrName","awayLosses","awayTies","awayWins","calendarYear","capAvailable","capRoom","capSpent","cityName","confLosses","confTies","confWins","conferenceId","conferenceName","defPassYds","defPassYdsRank","defRushYds","defRushYdsRank","defScheme","defTotalYds","defTotalYdsRank","displayName","divLosses","divName","divTies","divWins","divisionId","divisionName","homeLosses","homeTies","homeWins","injuryCount","logoId","netPts","nickName","offPassYds","offPassYdsRank","offRushYds","offRushYdsRank","offScheme","offTotalYds","offTotalYdsRank","ovrRating","playoffStatus","prevRank","primaryColor","ptsAgainst","ptsAgainstRank","ptsFor","ptsForRank","rank","seasonIndex","secondaryColor","seed","stageIndex","tODiff","teamId","teamName","teamOvr","totalLosses","totalTies","totalWins","userName","weekIndex","winLossStreak","winPct"
"SF",0,0,0,2024,69860000,255400000,185540000,"San Francisco",0,0,0,751960064,"NFC",0,1,0,1,19,0,1,"49ers",0,"NFC West",0,0,755105799,"NFC West",0,0,0,2,14,0,"Niners",0,32,0,32,0,0,32,88,0,0,11141120,0,1,0,32,0,0,11506269,0,1,0,759955456,"49ers",88,0,0,0,"",0,0,0
"CHI",0,0,0,2024,25060000,255400000,230340000,"Chicago",0,0,0,751960064,"NFC",0,2,0,2,11,0,2,"Bears",0,"NFC North",0,0,755105797,"NFC North",0,0,0,0,0,0,"Bears",0,31,0,31,10,0,31,82,0,0,726570,0,2,0,31,0,0,15089920,0,1,0,759955457,"Bears",82,0,0,0,"",0,0,0
"CIN",0,0,0,2024,22490000,255400000,232910000,"Cincinnati",0,0,0,750518272,"AFC",0,3,0,3,11,0,3,"Bengals",0,"AFC North",0,0,755105793,"AFC North",0,0,0,0,1,0,"Bengals",0,30,0,30,10,0,30,83,0,0,16469780,0,3,0,30,0,0,0,0,1,0,759955458,"Bengals",83,0,0,0,"",0,0,0
"BUF",0,0,0,2024,20460000,255400000,234940000,"Buffalo",0,0,0,750518272,"AFC",0,4,0,4,11,0,4,"Bills",0,"AFC East",0,0,755105792,"AFC East",0,0,0,0,2,0,"Bills",0,29,0,29,6,0,29,84,0,0,798338,0,4,0,29,0,0,13961738,0,1,0,759955459,"Bills",84,0,0,0,"DNutty 01",0,0,0
"DEN",0,0,0,2024,24960000,255400000,230440000,"Denver",0,0,0,750518272,"AFC",0,5,0,5,14,0,5,"Broncos",0,"AFC West",0,0,755105795,"AFC West",0,0,0,1,3,0,"Broncos",0,28,0,28,4,0,28,84,0,0,664387,0,5,0,28,0,0,16534530,0,1,0,759955460,"Broncos",84,0,0,0,"",0,0,0
"CLE",0,0,0,2024,73960000,255400000,181440000,"Cleveland",0,0,0,750518272,"AFC",0,6,0,6,11,0,6,"Browns",0,"AFC North",0,0,755105793,"AFC North",0,0,0,1,4,0,"Browns",0,27,0,27,0,0,27,83,0,0,16727040,0,6,0,27,0,0,3218688,0,1,0,759955461,"Browns",83,0,0,0,"",0,0,0
"TB",0,0,0,2024,25110000,255400000,230290000,"Tampa Bay",0,0,0,751960064,"NFC",0,7,0,7,17,0,7,"Buccaneers",0,"NFC South",0,0,755105798,"NFC South",0,0,0,0,5,0,"Bucs",0,26,0,26,0,0,26,85,0,0,10685741,0,7,0,26,0,0,4078133,0,1,0,759955462,"Buccaneers",85,0,0,0,"",0,0,0
"ARI",0,0,0,2024,59950000,255400000,195450000,"Arizona",0,0,0,751960064,"NFC",0,8,0,8,13,0,8,"Cardinals",0,"NFC West",0,0,755105799,"NFC West",0,0,0,2,6,0,"Cardinals",0,25,0,25,0,0,25,81,0,0,8847399,0,8,0,25,0,0,16777215,0,1,0,759955463,"Cardinals",81,0,0,0,"",0,0,0
"LAC",0,0,0,2024,19250000,255400000,236150000,"Los Angeles",0,0,0,750518272,"AFC",0,9,0,9,18,0,9,"Chargers",0,"AFC West",0,0,755105795,"AFC West",0,0,0,2,7,0,"Bolts",0,24,0,24,1,0,24,82,0,0,32966,0,9,0,24,0,0,16761358,0,1,0,759955466,"Chargers",82,0,0,0,"",0,0,0
"KC",0,0,0,2024,12840000,255400000,242560000,"Kansas City",0,0,0,750518272,"AFC",0,10,0,10,11,0,10,"Chiefs",0,"AFC West",0,0,755105795,"AFC West",0,0,0,0,8,0,"Chiefs",0,23,0,23,10,0,23,89,0,0,14882871,0,10,0,23,0,0,15641886,0,1,0,759955467,"Chiefs",89,0,0,0,"",0,0,0
